Country,Population,Latitude,Longitude
Afghanistan,8901706,34.64512,67.56647
Albania,1670961,41.10195,20.01711
Algeria,19039658,35.44413,3.47887
Angola,4740284,-11.00478,16.07505
Argentina,36180077,-32.12683,-62.52983
Armenia,2516274,40.30572,44.63803
Australia,40255797,-32.26328,144.07703
Austria,8171237,47.61717,14.36834
Azerbaijan,4384421,40.29711,47.75473
Bahamas,357957,24.66915,-76.46025
Bahrain,562545,26.17683,50.57041
Bangladesh,26730551,23.83343,90.13452
Barbados,109103,13.18311,-59.57415
Belarus,7097388,53.57426,27.81115
Belgium,15411242,50.73683,4.52012
Belize,213119,17.54496,-88.56441
Benin,3022187,7.94135,2.27579
Bhutan,251017,27.30641,90.23112
Bolivia,7348242,-17.52899,-65.39906
Botswana,1073335,-22.8774,25.73956
Brazil,134594036,-15.93628,-45.34543
Bulgaria,5333123,42.80929,25.17351
Burkina Faso,2481823,12.4726,-1.58243
Burundi,662818,-3.30867,29.74662
Cambodia,3524321,12.30229,104.56564
Cameroon,8684197,5.5976,11.5176
Canada,32507672,47.60813,-86.51517
Cape Verde,309511,15.75373,-23.98774
Chad,1680347,12.00826,17.62415
Chile,13178789,-34.09079,-71.73219
China,673973115,32.65788,110.04284
Colombia,38170592,5.68069,-74.75902
Comoros,361020,-11.95965,43.87025
Congo,19537679,-2.91507,20.81363
Costa Rica,1904374,9.96493,-84.23855
Croatia,3114171,45.14743,16.46729
Cuba,10865255,21.93496,-79.61277
Cyprus,886319,34.97266,33.21976
Czech Republic,8621643,49.7507,15.73241
Denmark,5056318,55.86625,10.63437
Djibouti,749274,11.63446,42.80335
Ecuador,7532640,-1.53679,-79.48271
Egypt,39513421,29.35082,31.41295
El Salvador,2951847,13.68704,-88.91846
Eritrea,764691,14.89866,39.09706
Estonia,997940,58.86021,25.5141
Ethiopia,6884259,8.97763,38.42178
Fiji,223055,-17.04153,133.48764
Finland,5856320,62.24682,24.91347
France,54691966,46.99095,2.47562
Gabon,981677,-0.86191,11.4249
Gambia,736951,13.45516,-15.28144
Georgia,2386094,42.09693,43.21342
Germany,88876287,50.634,10.23518
Ghana,7287342,6.74788,-0.98343
Greece,8833274,38.90449,23.20707
Grenada,19251,12.18297,-61.65394
Guatemala,7245866,14.91936,-90.85062
Guinea,4722032,10.27047,-11.67491
Guinea-Bissau,517513,11.94978,-15.19392
Guyana,369776,6.33565,-58.29804
Haiti,4533238,18.99844,-72.7241
Honduras,3731858,14.82696,-87.48465
Hungary,10311030,47.3035,19.60546
Iceland,278685,64.60836,-20.27493
India,308535980,21.68598,79.28623
Indonesia,70092795,-3.83631,112.51082
Iran,40072202,33.67961,51.90969
Iraq,25118865,34.12057,44.62265
Ireland,3961244,53.2094,-7.37304
Israel,8480241,32.27988,35.0622
Italy,53824248,43.42378,11.60015
Jamaica,2364707,18.14455,-77.25422
Japan,110070300,35.95657,136.9368
Jordan,4283016,31.87241,35.87816
Kazakhstan,10074283,48.498,69.3851
Kenya,7571439,-0.66543,36.64066
Kiribati,86737,1.75469,99.51497
Kuwait,1698635,29.22847,48.04711
Kyrgyzstan,2105772,41.15839,72.8737
Latvia,1695243,56.9085,24.57511
Lebanon,4274250,33.80541,35.67922
Lesotho,382042,-29.49223,27.9977
Liberia,1256173,6.37482,-9.3899
Lithuania,2835365,55.18796,23.82584
Luxembourg,372772,49.69513,6.11127
Madagascar,4732673,-19.35448,47.38451
Malawi,1932348,-13.99957,34.52216
Malaysia,18560002,3.98098,104.12967
Maldives,187889,3.11866,73.28182
Mali,2501890,14.35515,-5.27178
Malta,401235,35.91646,14.43106
Mauritania,1093457,18.01638,-13.50481
Mauritius,1122682,-20.08225,57.72436
Mexico,107338689,20.20435,-99.27358
Micronesia,45125,6.96247,151.92687
Moldova,1847686,47.12517,28.62968
Mongolia,1445731,47.49002,102.3956
Montenegro,496702,42.54635,19.17884
Morocco,16301564,32.81199,-6.28986
Mozambique,4928874,-19.60292,35.65032
Myanmar,12671515,18.63616,96.39635
Namibia,803788,-21.51266,16.91543
Nepal,3989252,27.75965,84.40842
Netherlands,16408103,52.05105,5.4689
New Zealand,5638908,-40.07134,173.40483
Nicaragua,3029006,12.60916,-85.87203
Niger,2038086,14.32147,6.38509
Nigeria,61544522,8.77774,7.43609
Norway,3337963,62.08111,10.36443
Oman,2579609,23.19488,57.16062
Pakistan,53608445,30.36132,71.06122
Panama,2501302,8.46472,-80.7013
Paraguay,4020506,-25.42636,-56.565
Peru,22465464,-11.04209,-75.30814
Philippines,63101432,11.88842,122.74327
Poland,29146631,51.458,19.48433
Portugal,8667676,39.56948,-9.84642
Qatar,735253,25.51663,51.31611
Romania,24913257,45.80384,25.13142
Rwanda,1846189,-2.09176,29.74527
Saint Lucia,55611,13.88641,-60.98014
Samoa,80308,-13.80836,-171.94363
Saudi Arabia,20186461,24.31259,44.32945
Senegal,6078930,14.49471,-15.68095
Serbia,4803355,44.72297,20.4254
Seychelles,48029,-4.63952,55.50569
Sierra Leone,1913541,8.36511,-11.78692
Singapore,6047820,1.33757,103.85838
Slovakia,2969797,48.71345,19.18659
Slovenia,1197883,46.22262,14.9856
Somalia,5226266,5.5488,45.5609
South Africa,35151982,-28.99749,26.6567
South Sudan,1741152,6.99822,29.54268
Spain,52039860,40.56075,-3.23094
Sri Lanka,4173540,7.15812,80.39966
Sudan,9089764,14.57793,31.97247
Suriname,316458,5.66155,-55.35036
Swaziland,276340,-26.5149,31.44404
Sweden,9500790,58.97758,15.35415
Switzerland,7375148,47.06528,8.11235
Tajikistan,1907246,38.73689,69.52499
Tanzania,11574103,-5.89145,35.50021
Thailand,16357414,14.36718,101.26079
Timor-Leste,339746,-8.76566,125.6933
Togo,1565638,8.26495,1.06755
Tonga,49007,-20.27344,-174.79847
Tunisia,4896738,35.72347,9.98362
