Country,Kidney Disease Rate,Malaria Rate,Skin Cancer Rate,Population,Latitude,Longitude,Weathercode,Max Temp.,Min Temp.,Precipitation,Rain,Shortwave Radiation,People with Kidney D.,People with Malaria,People with Skin Cancer,Risk Evaluation
Micronesia,77.01,0.0,1.43,45125.0,6.96247,151.92687,82.78,28.48,27.61,11.69,0.14,19.33,34750.76,0.0,645.29,Low Risk Country
Nicaragua,73.96,0.0,1.27,3029006.0,12.60916,-85.87203,32.58,28.65,21.73,1.75,0.3,19.31,2240252.84,0.0,38468.38,Low Risk Country
El Salvador,72.9,0.0,0.88,2951847.0,13.68704,-88.91846,77.65,28.29,21.42,7.11,0.35,18.78,2151896.46,0.0,25976.25,Low Risk Country
Lesotho,69.87,0.0,3.61,382042.0,-29.49223,27.9977,29.08,17.89,6.34,1.49,0.24,19.22,266932.75,0.0,13791.72,Medium Risk Country
Swaziland,62.97,0.02,3.84,276340.0,-26.5149,31.44404,27.06,26.57,14.23,1.45,0.13,17.07,174011.3,55.27,10611.46,Medium Risk Country
Kiribati,56.66,0.0,0.66,86737.0,1.75469,99.51497,64.51,27.24,20.64,8.45,0.58,13.92,49145.18,0.0,572.46,Low Risk Country
Bolivia,55.82,0.0,1.76,7348242.0,-17.52899,-65.39906,48.67,31.31,24.34,1.55,0.65,15.92,4101788.68,0.0,129329.06,Low Risk Country
Guatemala,55.14,0.0,1.71,7245866.0,14.91936,-90.85062,53.34,25.37,15.38,3.0,0.41,19.15,3995370.51,0.0,123904.31,Low Risk Country
Suriname,52.54,0.0,0.19,316458.0,5.66155,-55.35036,77.5,31.4,23.41,7.85,0.04,17.04,166267.03,0.0,601.27,Low Risk Country
Philippines,51.96,0.1,0.52,63101432.0,11.88842,122.74327,93.1,28.99,27.48,21.35,0.43,17.29,32787504.07,63101.43,328127.45,Low Risk Country
Saudi Arabia,50.63,0.0,0.27,20186461.0,24.31259,44.32945,3.34,35.93,25.92,0.01,0.0,23.15,10220405.2,0.0,54503.44,Low Risk Country
Honduras,49.37,0.0,1.09,3731858.0,14.82696,-87.48465,77.71,26.96,19.55,8.06,0.17,18.75,1842418.29,0.0,40677.25,Low Risk Country
Sao Tome,46.72,0.19,0.0,,,,,,,,,,,,,Low Risk Country
Cameroon,46.48,34.53,1.92,8684197.0,5.5976,11.5176,77.88,27.25,19.74,6.05,0.17,16.52,4036414.77,2998653.22,166736.58,Medium Risk Country
Afghanistan,46.1,0.55,1.03,8901706.0,34.64512,67.56647,14.19,6.4,-0.67,0.73,0.3,22.33,4103686.47,48959.38,91687.57,Low Risk Country
Vanuatu,43.29,0.0,0.0,57560.0,-16.14644,167.77029,65.66,27.75,26.44,5.42,0.07,20.45,24917.72,0.0,0.0,Low Risk Country
Fiji,43.25,0.0,0.26,223055.0,-17.04153,133.48764,11.99,32.37,18.12,1.13,0.21,21.69,96471.29,0.0,579.94,Low Risk Country
Qatar,43.2,0.0,0.55,735253.0,25.51663,51.31611,3.98,38.62,26.82,0.06,0.0,22.8,317629.3,0.0,4043.89,Low Risk Country
Pakistan,42.04,0.27,1.16,53608445.0,30.36132,71.06122,30.93,33.81,24.25,4.53,0.1,18.22,22536990.28,144742.8,621857.96,Low Risk Country
Mauritius,41.13,0.0,0.24,1122682.0,-20.08225,57.72436,8.29,26.31,18.95,0.04,0.01,20.44,461759.11,0.0,2694.44,Low Risk Country
