Country,KD Rank,KD Rate,M Rank,M Rate,SC Rank,SC Rate,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,Population,Latitude,Longitude
Micronesia,1.0,77.01,137.0,0.0,122.0,1.43,82.78,28.48,27.61,11.69,0.14,19.33,45125.0,6.96247,151.92687
Nicaragua,2.0,73.96,144.0,0.0,128.0,1.27,32.58,28.65,21.73,1.75,0.3,19.31,3029006.0,12.60916,-85.87203
El Salvador,3.0,72.9,102.0,0.0,141.0,0.88,77.65,28.29,21.42,7.11,0.35,18.78,2951847.0,13.68704,-88.91846
Lesotho,4.0,69.87,128.0,0.0,19.0,3.61,29.08,17.89,6.34,1.49,0.24,19.22,382042.0,-29.49223,27.9977
Swaziland,5.0,62.97,63.0,0.02,17.0,3.84,27.06,26.57,14.23,1.45,0.13,17.07,276340.0,-26.5149,31.44404
Kiribati,6.0,56.66,123.0,0.0,154.0,0.66,64.51,27.24,20.64,8.45,0.58,13.92,86737.0,1.75469,99.51497
Bolivia,7.0,55.82,86.0,0.0,102.0,1.76,48.67,31.31,24.34,1.55,0.65,15.92,7348242.0,-17.52899,-65.39906
Guatemala,8.0,55.14,111.0,0.0,105.0,1.71,53.34,25.37,15.38,3.0,0.41,19.15,7245866.0,14.91936,-90.85062
Suriname,9.0,52.54,167.0,0.0,175.0,0.19,77.5,31.4,23.41,7.85,0.04,17.04,316458.0,5.66155,-55.35036
Philippines,10.0,51.96,58.0,0.1,161.0,0.52,93.1,28.99,27.48,21.35,0.43,17.29,63101432.0,11.88842,122.74327
Saudi Arabia,11.0,50.63,159.0,0.0,169.0,0.27,3.34,35.93,25.92,0.01,0.0,23.15,20186461.0,24.31259,44.32945
Honduras,12.0,49.37,69.0,0.0,136.0,1.09,77.71,26.96,19.55,8.06,0.17,18.75,3731858.0,14.82696,-87.48465
Sao Tome,13.0,46.72,54.0,0.19,179.0,0.0,,,,,,,,,
Cameroon,14.0,46.48,28.0,34.53,89.0,1.92,77.88,27.25,19.74,6.05,0.17,16.52,8684197.0,5.5976,11.5176
Afghanistan,15.0,46.1,49.0,0.55,138.0,1.03,14.19,6.4,-0.67,0.73,0.3,22.33,8901706.0,34.64512,67.56647
Vanuatu,16.0,43.29,183.0,0.0,183.0,0.0,65.66,27.75,26.44,5.42,0.07,20.45,57560.0,-16.14644,167.77029
Fiji,17.0,43.25,104.0,0.0,170.0,0.26,11.99,32.37,18.12,1.13,0.21,21.69,223055.0,-17.04153,133.48764
Qatar,18.0,43.2,152.0,0.0,159.0,0.55,3.98,38.62,26.82,0.06,0.0,22.8,735253.0,25.51663,51.31611
Pakistan,19.0,42.04,52.0,0.27,132.0,1.16,30.93,33.81,24.25,4.53,0.1,18.22,53608445.0,30.36132,71.06122
Mauritius,20.0,41.13,135.0,0.0,172.0,0.24,8.29,26.31,18.95,0.04,0.01,20.44,1122682.0,-20.08225,57.72436
Seychelles,21.0,40.23,161.0,0.0,135.0,1.1,35.54,26.56,25.62,2.62,0.0,20.27,48029.0,-4.63952,55.50569
Arab Emirates,22.0,40.17,178.0,0.0,10.0,4.56,,,,,,,,,
Samoa,23.0,39.81,158.0,0.0,130.0,1.24,26.71,30.33,25.17,1.18,0.0,19.16,80308.0,-13.80836,-171.94363
Botswana,24.0,38.81,62.0,0.03,11.0,4.55,11.3,29.62,15.29,0.49,0.02,21.0,1073335.0,-22.8774,25.73956
Laos,25.0,38.6,55.0,0.15,123.0,1.43,,,,,,,,,
Equ. Guinea,26.0,37.97,25.0,36.88,23.0,3.32,,,,,,,,,
Gabon,27.0,37.95,32.0,28.76,24.0,3.19,57.8,26.35,20.16,7.29,0.03,13.77,981677.0,-0.86191,11.4249
Ecuador,28.0,37.41,100.0,0.0,100.0,1.8,32.37,27.27,20.28,0.19,0.09,12.53,7532640.0,-1.53679,-79.48271
